Case,Nathan,Paul,Dave,Adriana,Peter,Quaid,Copeland,Borda,Std Dev
Truth,27,27,27,27,27,27,156,162.0,0.0
NClusterOneLineage,1,2,1,2,1,2,-149,9.0,0.5
OneCluster,3,1,3,1,1,2,-145,11.0,0.89752746785575077
NClusterTwoLineages,2,3,2,3,3,2,-138,15.0,0.5
ParentIsNieceWithChildren,6,4,5,5,5,5,-108,30.0,0.57735026918962573
NClusterCorrectLineage,12,5,6,4,4,14,-78,45.0,3.9895697345286076
ParentIsSiblingWithChildren,7,10,10,8,9,7,-63,51.0,1.2583057392117916
BigExtraTop,10,16,4,11,6,4,-65,51.0,4.3108390521258544
BigExtraMid,4,18,7,13,9,6,-51,57.0,4.7169905660283016
ParentIsCousin,8,8,19,7,9,9,-44,60.0,4.0824829046386304
ParentIsAunt,9,6,19,10,9,8,-42,61.0,4.1399141161247401
ParentIsGrandparent,14,11,11,6,13,13,-26,68.0,2.6246692913372702
ParentIsSibling,13,9,11,9,21,15,-6,78.0,4.1633319989322652
BigExtraCurBot,5,19,8,17,19,10,-11,78.0,5.5677643628300215
BigExtraNewBot,11,17,9,15,19,11,-3,82.0,3.5901098714230031
MergeClusterTop&Mid,17,7,21,19,6,17,10,87.0,5.8238017365520491
MergeClusterMid&BotMultiChild,15,12,21,20,13,12,26,93.0,3.6855573979159968
SmallExtraTop,26,20,13,12,8,18,28,97.0,5.899623340142619
SplitClusterMidMultiChild,18,14,17,23,13,17,42,102.0,3.2145502536643185
SplitClusterMidOneChild,19,15,17,24,13,17,48,105.0,3.4520525295346629
MergeClusterMid&BotOneChild,16,13,21,21,13,22,54,106.0,3.815174380753199
SmallExtraMid,23,23,14,14,13,19,51,106.0,4.2295258468165065
SmallExtraNewBot,25,22,16,16,21,20.5,80,120.5,3.2199465143936097
SmallExtraCurBot,24,24,15,18,21,20.5,84,122.5,3.1939613161228002
MergeClusterBot,20,21,21,22,21,25,102,130.0,1.5986105077709065
SplitClusterBotDiff,22,25,26,25,21,23,123,142.0,1.7950549357115015
SplitClusterBotSame,21,26,25,26,21,24,125,143.0,2.1147629234082532
